date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:03	63524/63524	---M-Z	200	added ('OK')	text/html	etag:%224be0163-f689-5e4b48a0110d7-gzip%22	https://www.uniqueskill.in/	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/index.html	(from )
20:27:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Jul%202022%2014:57:03%20GMT	https://www.uniqueskill.in/robots.txt		(from )
20:27:04	3470/3470	---M--	200	added ('OK')	image/png	etag:%224c0014d-d8e-5e4378c20aa87%22	https://www.uniqueskill.in/images/favicon.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/favicon.png	(from https://www.uniqueskill.in/)
20:27:04	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%224c001b2-6f0-5e4378deced87-gzip%22	https://www.uniqueskill.in/css/slick.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/slick.css	(from https://www.uniqueskill.in/)
20:27:04	77749/77749	---M-Z	200	added ('OK')	text/css	etag:%224c001aa-12fb5-5e4378dcbb954-gzip%22	https://www.uniqueskill.in/css/animate.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/animate.css	(from https://www.uniqueskill.in/)
20:27:05	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%224c001b0-fa7-5e4378de4bbd2-gzip%22	https://www.uniqueskill.in/css/nice-select.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/nice-select.css	(from https://www.uniqueskill.in/)
20:27:05	300/300	---M-Z	200	added ('OK')	text/css	etag:%224c001ae-12c-5e4378ddcd456-gzip%22	https://www.uniqueskill.in/css/jquery.nice-number.min.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/jquery.nice-number.min.css	(from https://www.uniqueskill.in/)
20:27:05	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%224c001af-1b27-5e4378de13d45-gzip%22	https://www.uniqueskill.in/css/magnific-popup.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/magnific-popup.css	(from https://www.uniqueskill.in/)
20:27:05	157215/157215	---M-Z	200	added ('OK')	text/css	etag:%224c001ab-2661f-5e4378dd1e37d-gzip%22	https://www.uniqueskill.in/css/bootstrap.min.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/bootstrap.min.css	(from https://www.uniqueskill.in/)
20:27:06	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Mayank/Desktop/skill/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.uniqueskill.in/)
20:27:06	10596/10596	---M-Z	200	added ('OK')	text/css	etag:%224c001ac-2964-5e4378dd57593-gzip%22	https://www.uniqueskill.in/css/default.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/default.css	(from https://www.uniqueskill.in/)
20:27:06	102133/102133	---M-Z	200	added ('OK')	text/css	etag:%224c001b3-18ef5-5e4378df342a9-gzip%22	https://www.uniqueskill.in/css/style.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/style.css	(from https://www.uniqueskill.in/)
20:27:06	21314/21314	---M-Z	200	added ('OK')	text/css	etag:%224c001b1-5342-5e4378de976ca-gzip%22	https://www.uniqueskill.in/css/responsive.css	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/css/responsive.css	(from https://www.uniqueskill.in/)
